neighborhoods,population,white,black,people of color,people per household,income per capita
Academy,2816,54,2700,2762,,
Baden,7268,461,6676,6807,,
Benton Park,3532,2408,888,1124,,
Benton Park West,4404,1234,2626,3170,,
Bevo Mill,12654,9395,1746,3259,,
Botanical Heights,1037,211,772,826,,
Boulevard Heights,8708,7798,312,910,,
Carondelet,8661,4967,2924,3694,,
Carr Square,2774,14,2719,2760,,
Central West End,14471,8395,4054,6076,,
Cheltenham,620,417,93,203,,
Clayton-Tamm,2251,2004,136,247,,
Clifton Heights,3074,2770,120,304,,
College Hill,1871,69,1735,1802,,
Columbus Square,1869,76,1737,1793,,
Compton Heights,1315,933,280,382,,
Covenant Blu-Grand Center,3562,1248,2007,2314,,
DeBaliviere Place,3466,2046,1020,1420,,
Downtown,3721,1991,1382,1730,,
Downtown West,3940,2219,1455,1721,,
Dutchtown,15770,5600,8016,10170,,
Ellendale,1575,1269,188,306,,
Fairground Neighborhood,1793,30,1741,1763,,
Forest Park South East,2918,879,1876,2039,,
Fountain Park,1484,17,1445,1467,,
Fox Park,2632,849,1612,1783,,
Franz Park,2442,2104,193,338,,
Gravois Park,5225,1172,3573,4053,,
Greater Ville,6189,46,6029,6143,,
Hamilton Heights,3105,30,3023,3075,,
Hi-Pointe,2196,1867,152,329,,
Holly Hills,3701,3006,424,695,,
Hyde Park,2668,363,2262,2305,,
Jeff Vanderlou,5557,74,5399,5483,,
Kings Oak,180,99,70,81,,
Kingsway East,3542,50,3404,3492,,
Kingsway West,3441,118,3253,3323,,
Kosciusko,14,6,6,8,,
LaSalle Park,1299,367,878,932,,
Lafayette Square,2078,1672,281,406,,
Lewis Place,1673,88,1542,1585,,
Lindenwood Park,9486,8653,405,833,,
Marine Villa,2691,1014,1491,1677,,
Mark Twain,4188,43,4096,4145,,
Mark Twain I-70 Industrial,1295,31,1240,1264,,
McKinley Heights,1497,723,689,774,,
Midtown,5652,3500,1457,2152,,
Mount Pleasant,4408,1903,2078,2505,,
Near North Riverfront,553,239,304,314,,
North Hampton,7892,5965,1202,1927,,
North Pointe,3966,48,3868,3918,,
North Riverfront,937,133,674,804,,
O'Fallon,5791,62,5608,5729,,
Old North St. Louis,1916,355,1495,1561,,
Patch,2695,1921,570,774,,
Peabody Darst Webbe,2378,246,2081,2132,,
Penrose,6387,49,6221,6338,,
Princeton Heights,7619,6992,345,627,,
Riverview,304,88,209,216,,
Shaw,6811,3524,2853,3287,,
Skinker DeBaliviere,4077,2029,1544,2048,,
Soulard,3440,2843,458,597,,
Southampton,6904,5966,574,938,,
Southwest Garden,4885,3756,804,1129,,
St. Louis Hills,7373,6962,178,411,,
St. Louis Place,2939,210,2649,2729,,
The Gate District,3456,499,2842,2957,,
The Hill,2443,2290,84,153,,
The Ville,1868,22,1817,1846,,
Tiffany,1060,114,891,946,,
Tower Grove East,5853,2685,2563,3168,,
Tower Grove South,13333,7325,3965,6008,,
Vandeventer,1682,21,1609,1661,,
Visitation Park,960,56,868,904,,
Walnut Park East,4130,53,3995,4077,,
Walnut Park West,3349,37,3279,3312,,
Wells Goodfellow,5895,42,5745,5853,,
West End,6574,532,5584,6042,,
Wydown Skinker,1054,903,36,151,,
